Generation,geriausias_tikslo_įvertis,vidutinis_tikslo_įvertis,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL,,Weights,,,contrast_sum,avg
0,-0.9451,-0.9765,,0.1174,0.3557,1.4182,0.1018,0.3529,1.4312,,"""contrast_edge_luminance_laplacian"":",0.9425,,3.9986,0.499825
5,-0.9072,-0.9312,,0.134,0.3596,1.4008,0.1227,0.357,1.4108,,"""contrast_edge_luminance_sobel"":",0.3774,,,
10,-0.8872,-0.901,,0.143,0.362,1.3922,0.1367,0.3602,1.3979,,"""contrast_edge_color_sobel"":",1,,,
15,-0.881,-0.8861,,0.1468,0.3627,1.3905,0.1428,0.3619,1.3907,,"""contrast_edge_color_gradient"":",0.6508,,,
20,-0.8737,-0.8777,,0.1494,0.3632,1.3863,0.1465,0.3628,1.387,,"""contrast_region_color_slic"":",0.496,,,
25,-0.8685,-0.8723,,0.1503,0.3637,1.3825,0.1486,0.3633,1.3842,,"""contrast_texture_gabor"":",0.2276,,,
30,-0.8631,-0.8682,,0.1532,0.3643,1.3806,0.1505,0.3638,1.3826,,"""contrast_texture_lbp"":",0.1013,,,
35,-0.8613,-0.8657,,0.1523,0.3646,1.3782,0.152,0.3641,1.3818,,"""contrast_texture_entropy"":",0.203,,,
40,-0.8611,-0.8639,,0.1533,0.3643,1.3787,0.1523,0.3643,1.3806,,"""symmetry_watershed"":",0.6549,,symmetry_sum,avg
45,-0.8588,-0.8613,,0.1541,0.3648,1.3777,0.1535,0.3646,1.3794,,"""symmetry_felzenszwalb"":",0,,0.7577,0.07577
50,-0.8569,-0.8592,,0.154,0.3651,1.3759,0.1545,0.3647,1.3784,,"""symmetry_seeded_region"":",0,,,
55,-0.8553,-0.8582,,0.1561,0.3653,1.3766,0.1548,0.3648,1.3778,,"""symmetry_superpixel_preproc"":",0,,,
60,-0.8533,-0.8568,,0.1568,0.3653,1.3753,0.1555,0.3649,1.3772,,"""symmetry_superpixel"":",0,,,
65,-0.8526,-0.8554,,0.1565,0.3652,1.3743,0.1561,0.3651,1.3766,,"""symmetry_watershed_h"":",0,,,
70,-0.8507,-0.8537,,0.1582,0.366,1.3749,0.1569,0.3653,1.3758,,"""symmetry_felzenszwalb_h"":",0.0022,,,
75,-0.8507,-0.8529,,0.1582,0.366,1.3749,0.1571,0.3654,1.3754,,"""symmetry_seeded_region_h"":",0,,,
