Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
0,-0.9198,-1.1803,,0.3597,0.1268,1.4062,0.3483,0.0591,1.5877
5,-0.9123,-0.9399,,0.3612,0.1338,1.4073,0.3579,0.1203,1.4182
10,-0.8956,-0.9118,,0.3622,0.1412,1.3990,0.3604,0.1327,1.4049
15,-0.8876,-0.9003,,0.3622,0.1412,1.3910,0.3613,0.1373,1.3989
20,-0.8777,-0.8899,,0.3638,0.1483,1.3898,0.3620,0.1410,1.3929
25,-0.8716,-0.8818,,0.3633,0.1492,1.3841,0.3627,0.1449,1.3894
30,-0.8693,-0.8763,,0.3637,0.1490,1.3821,0.3633,0.1471,1.3867
35,-0.8602,-0.8721,,0.3649,0.1519,1.3770,0.3636,0.1487,1.3845
40,-0.8602,-0.8685,,0.3649,0.1519,1.3770,0.3639,0.1500,1.3823
45,-0.8547,-0.8648,,0.3651,0.1541,1.3738,0.3642,0.1513,1.3803
50,-0.8512,-0.8613,,0.3649,0.1580,1.3740,0.3645,0.1527,1.3784
55,-0.8490,-0.8575,,0.3648,0.1581,1.3718,0.3648,0.1544,1.3767
60,-0.8480,-0.8549,,0.3654,0.1584,1.3717,0.3649,0.1553,1.3751
65,-0.8457,-0.8526,,0.3656,0.1586,1.3699,0.3651,0.1562,1.3739
70,-0.8457,-0.8510,,0.3656,0.1586,1.3699,0.3652,0.1569,1.3732
75,-0.8454,-0.8501,,0.3660,0.1599,1.3712,0.3653,0.1575,1.3729
80,-0.8453,-0.8490,,0.3661,0.1598,1.3712,0.3654,0.1580,1.3724
85,-0.8441,-0.8477,,0.3658,0.1604,1.3703,0.3655,0.1585,1.3717
90,-0.8441,-0.8470,,0.3658,0.1604,1.3703,0.3656,0.1588,1.3714
95,-0.8414,-0.8457,,0.3662,0.1609,1.3686,0.3657,0.1592,1.3706
100,-0.8406,-0.8446,,0.3662,0.1609,1.3678,0.3658,0.1598,1.3703
105,-0.8406,-0.8437,,0.3662,0.1609,1.3678,0.3659,0.1605,1.3700
110,-0.8394,-0.8428,,0.3662,0.1624,1.3680,0.3660,0.1609,1.3696
115,-0.8344,-0.8414,,0.3671,0.1637,1.3653,0.3661,0.1616,1.3691
120,-0.8344,-0.8400,,0.3671,0.1637,1.3653,0.3662,0.1622,1.3683
125,-0.8337,-0.8384,,0.3668,0.1655,1.3661,0.3663,0.1629,1.3676
130,-0.8328,-0.8368,,0.3667,0.1653,1.3648,0.3664,0.1637,1.3670
135,-0.8310,-0.8356,,0.3673,0.1660,1.3643,0.3666,0.1642,1.3664
140,-0.8305,-0.8345,,0.3674,0.1661,1.3640,0.3667,0.1647,1.3659
145,-0.8305,-0.8337,,0.3674,0.1661,1.3640,0.3667,0.1651,1.3655
150,-0.8287,-0.8330,,0.3674,0.1676,1.3637,0.3668,0.1653,1.3650
155,-0.8283,-0.8319,,0.3674,0.1680,1.3637,0.3669,0.1657,1.3645
160,-0.8277,-0.8313,,0.3673,0.1678,1.3627,0.3670,0.1660,1.3643
165,-0.8273,-0.8304,,0.3674,0.1681,1.3628,0.3671,0.1663,1.3638
170,-0.8256,-0.8294,,0.3673,0.1686,1.3615,0.3672,0.1668,1.3634
175,-0.8245,-0.8288,,0.3678,0.1690,1.3613,0.3673,0.1671,1.3632
