Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
0,-0.9248,-0.9687,,0.3589,0.1253,1.4090,0.3546,0.1043,1.4276
5,-0.8992,-0.9165,,0.3607,0.1392,1.3990,0.3595,0.1293,1.4053
10,-0.8749,-0.8942,,0.3632,0.1451,1.3831,0.3617,0.1387,1.3946
15,-0.8702,-0.8824,,0.3641,0.1483,1.3826,0.3628,0.1436,1.3888
20,-0.8590,-0.8730,,0.3650,0.1531,1.3772,0.3636,0.1475,1.3841
25,-0.8590,-0.8668,,0.3650,0.1531,1.3772,0.3641,0.1502,1.3811
30,-0.8567,-0.8637,,0.3650,0.1548,1.3766,0.3644,0.1513,1.3794
35,-0.8551,-0.8602,,0.3649,0.1551,1.3751,0.3646,0.1527,1.3775
40,-0.8525,-0.8580,,0.3651,0.1566,1.3742,0.3648,0.1536,1.3764
45,-0.8503,-0.8563,,0.3653,0.1575,1.3730,0.3649,0.1544,1.3757
50,-0.8500,-0.8546,,0.3649,0.1561,1.3709,0.3650,0.1552,1.3748
55,-0.8452,-0.8526,,0.3657,0.1593,1.3702,0.3652,0.1559,1.3737
60,-0.8452,-0.8510,,0.3657,0.1593,1.3702,0.3654,0.1567,1.3731
65,-0.8432,-0.8493,,0.3658,0.1601,1.3691,0.3655,0.1574,1.3722
70,-0.8408,-0.8476,,0.3661,0.1608,1.3677,0.3656,0.1582,1.3715
75,-0.8398,-0.8459,,0.3665,0.1609,1.3672,0.3658,0.1589,1.3706
80,-0.8398,-0.8443,,0.3665,0.1609,1.3672,0.3659,0.1595,1.3697
85,-0.8385,-0.8432,,0.3665,0.1636,1.3686,0.3660,0.1598,1.3691
90,-0.8385,-0.8425,,0.3665,0.1636,1.3686,0.3661,0.1601,1.3687
95,-0.8384,-0.8419,,0.3667,0.1614,1.3665,0.3662,0.1604,1.3685
100,-0.8369,-0.8412,,0.3667,0.1627,1.3662,0.3662,0.1608,1.3682
105,-0.8366,-0.8403,,0.3667,0.1623,1.3656,0.3663,0.1612,1.3678
110,-0.8361,-0.8395,,0.3667,0.1627,1.3654,0.3664,0.1614,1.3673
115,-0.8359,-0.8385,,0.3670,0.1627,1.3657,0.3665,0.1620,1.3670
120,-0.8354,-0.8376,,0.3666,0.1637,1.3657,0.3666,0.1622,1.3664
125,-0.8354,-0.8372,,0.3666,0.1637,1.3657,0.3667,0.1623,1.3662
130,-0.8335,-0.8365,,0.3671,0.1632,1.3638,0.3668,0.1625,1.3658
135,-0.8335,-0.8360,,0.3671,0.1632,1.3638,0.3669,0.1628,1.3657
140,-0.8328,-0.8353,,0.3676,0.1630,1.3635,0.3669,0.1630,1.3652
145,-0.8317,-0.8347,,0.3675,0.1640,1.3632,0.3670,0.1631,1.3648
150,-0.8311,-0.8341,,0.3669,0.1644,1.3625,0.3670,0.1633,1.3645
155,-0.8299,-0.8331,,0.3677,0.1643,1.3620,0.3671,0.1635,1.3637
160,-0.8299,-0.8325,,0.3677,0.1643,1.3620,0.3672,0.1636,1.3633
165,-0.8285,-0.8317,,0.3676,0.1642,1.3602,0.3672,0.1640,1.3629
170,-0.8277,-0.8310,,0.3679,0.1652,1.3608,0.3673,0.1642,1.3624
175,-0.8277,-0.8304,,0.3679,0.1652,1.3608,0.3674,0.1644,1.3622
180,-0.8277,-0.8299,,0.3679,0.1652,1.3608,0.3675,0.1643,1.3618
185,-0.8275,-0.8294,,0.3677,0.1643,1.3594,0.3676,0.1646,1.3616
190,-0.8273,-0.8289,,0.3679,0.1664,1.3617,0.3677,0.1647,1.3613
195,-0.8256,-0.8285,,0.3683,0.1662,1.3600,0.3677,0.1649,1.3612
200,-0.8256,-0.8281,,0.3683,0.1662,1.3600,0.3678,0.1650,1.3608
205,-0.8256,-0.8278,,0.3683,0.1662,1.3600,0.3678,0.1652,1.3608
210,-0.8256,-0.8271,,0.3679,0.1659,1.3594,0.3679,0.1655,1.3605
215,-0.8244,-0.8265,,0.3681,0.1671,1.3597,0.3680,0.1658,1.3603
220,-0.8244,-0.8261,,0.3681,0.1671,1.3597,0.3680,0.1660,1.3601
225,-0.8240,-0.8257,,0.3681,0.1682,1.3604,0.3681,0.1661,1.3599
230,-0.8240,-0.8251,,0.3681,0.1682,1.3604,0.3682,0.1662,1.3596
235,-0.8229,-0.8246,,0.3683,0.1669,1.3582,0.3682,0.1664,1.3593
240,-0.8229,-0.8243,,0.3683,0.1669,1.3582,0.3683,0.1666,1.3592
245,-0.8229,-0.8240,,0.3683,0.1669,1.3582,0.3683,0.1666,1.3589
250,-0.8219,-0.8235,,0.3686,0.1665,1.3570,0.3683,0.1669,1.3588
255,-0.8212,-0.8231,,0.3687,0.1675,1.3574,0.3684,0.1670,1.3585
260,-0.8212,-0.8227,,0.3687,0.1675,1.3574,0.3684,0.1671,1.3582
