Generation,BestFitness,AverageFitness,BestID
0,-0.9411,-0.9772,0
1,-0.9411,-0.9639,0
2,-0.9309,-0.9522,0
3,-0.9239,-0.9405,0
4,-0.9191,-0.9334,0
5,-0.9038,-0.9271,0
6,-0.899,-0.9189,0
7,-0.896,-0.911,0
8,-0.889,-0.9031,0
9,-0.8869,-0.8992,0
10,-0.8861,-0.8955,0
11,-0.8827,-0.8921,0
12,-0.8806,-0.8895,0
13,-0.8787,-0.8866,0
14,-0.8787,-0.8843,0
15,-0.8765,-0.8819,0
16,-0.8762,-0.8804,0
17,-0.8762,-0.8795,0
18,-0.8757,-0.8786,0
19,-0.871,-0.8767,0
20,-0.871,-0.8752,0
21,-0.8704,-0.874,0
22,-0.8699,-0.8726,0
23,-0.8682,-0.8713,0
24,-0.868,-0.8701,0
25,-0.8658,-0.8691,0
26,-0.8652,-0.8682,0
27,-0.8652,-0.8675,0
28,-0.862,-0.8666,0
29,-0.8619,-0.8654,0
30,-0.8614,-0.8645,0
31,-0.8612,-0.8634,0
32,-0.8609,-0.8628,0
33,-0.8608,-0.8623,0
34,-0.8594,-0.8614,0
35,-0.8587,-0.8612,0
36,-0.8578,-0.8604,0
37,-0.8577,-0.8597,0
38,-0.8577,-0.8593,0
39,-0.8556,-0.8589,0
40,-0.8556,-0.8584,0
41,-0.8556,-0.8581,0
42,-0.8556,-0.8576,0
43,-0.855,-0.8572,0
44,-0.855,-0.8569,0
45,-0.855,-0.8566,0
46,-0.855,-0.8564,0
47,-0.8532,-0.8558,0
48,-0.8532,-0.8554,0
49,-0.8532,-0.8552,0
50,-0.8531,-0.855,0
51,-0.8531,-0.8545,0
52,-0.8531,-0.8543,0
53,-0.8529,-0.854,0
54,-0.8522,-0.8536,0
55,-0.8522,-0.8532,0
56,-0.8522,-0.853,0
57,-0.8517,-0.8528,0
58,-0.8517,-0.8526,0
59,-0.8512,-0.8524,0
60,-0.8511,-0.8522,0
61,-0.8506,-0.852,0
62,-0.8506,-0.8519,0
63,-0.8506,-0.8518,0
64,-0.8506,-0.8516,0
65,-0.8499,-0.8512,0
66,-0.8498,-0.851,0
67,-0.8498,-0.8509,0
68,-0.8497,-0.8507,0
69,-0.8488,-0.8503,0
