Generation,BestFitness,AverageFitness,BestID,BestSIM,BestCC,BestKL,AvgSIM,AvgCC,AvgKL
0,-0.9324,-0.9735,,0.3575,0.1195,1.4093,0.3542,0.1014,1.4291
5,-0.8980,-0.9203,,0.3613,0.1378,1.3972,0.3589,0.1264,1.4056
10,-0.8855,-0.8976,,0.3616,0.1421,1.3892,0.3612,0.1372,1.3960
15,-0.8763,-0.8843,,0.3632,0.1472,1.3867,0.3624,0.1435,1.3902
20,-0.8671,-0.8733,,0.3640,0.1504,1.3815,0.3632,0.1478,1.3842
25,-0.8626,-0.8661,,0.3642,0.1533,1.3800,0.3639,0.1516,1.3817
30,-0.8589,-0.8614,,0.3644,0.1553,1.3786,0.3643,0.1541,1.3799
35,-0.8567,-0.8585,,0.3648,0.1556,1.3770,0.3645,0.1552,1.3782
40,-0.8541,-0.8556,,0.3650,0.1572,1.3763,0.3648,0.1563,1.3767
45,-0.8535,-0.8539,,0.3650,0.1577,1.3761,0.3650,0.1572,1.3761
50,-0.8523,-0.8531,,0.3652,0.1580,1.3755,0.3650,0.1575,1.3756
